Cod    TS_idx
31     0
15     0
4      1
0      2
17     0
11     0
13     0
0      2
14     0
17     0
4      3
0      4
19     0
1      5
17     0
4      6
0      7
19     0
0      8
22     0
0      2
22     0
0      2
17     0
4      9
0      10
19     0
1      11
22     0
0      8
22     0
0      2
17     0
12     0
13     0
0      12
14     0
17     0
12     0
13     0
2      13
14     0
17     0
12     0
13     0
0      14
14     0
17     0
16     0
32     0
